benchmark,seed,status,tests_passed,total_tests,wall_time_s,tokens_used,total_llm_cost,planner_retries,formulizer_retries,coder_retries,debugger_retries,failure_modes
alkane_isomer_search,42,failed,0,2,99.9,21701,0.0179,0,0,0,0,coding_error
amplify_benchmark_job_selection,42,success,2,2,88.4,21280,0.0168,0,0,0,0,
aqora_energy_storage_microgrid_siting,42,failed,0,2,85.9,17962,0.0134,0,0,0,0,formulation_error
asset_exchange_qubo_plus,42,success,2,2,149.2,20151,0.0162,0,0,0,0,
balanced_k_means_clustering,42,success,2,2,172.3,27809,0.0233,0,0,0,0,
bayesian_network_learning,42,failed,0,2,176.7,25401,0.0186,0,0,0,0,coding_error
bin_packing,42,failed,1,2,159.0,23766,0.0192,0,0,0,0,formulation_error
brain_sparse_coding_qubo,42,failed,0,2,54.3,16104,0.0110,0,0,0,0,formulation_error
capacitated_facility_location,42,failed,0,1,111.9,29833,0.0233,0,0,0,0,coding_error
clinical_enzyme_target_identification,42,failed,0,2,56.9,16672,0.0113,0,0,0,0,formulation_error
clique_cover,42,failed,1,2,139.4,17803,0.0128,0,0,0,0,formulation_error
cloud_edge_resource_allocation,42,failed,0,2,695.4,82501,0.0648,0,0,0,0,coding_error
combinatorial_auction_winner_determination,42,failed,0,2,58.4,14353,0.0103,0,0,0,0,formulation_error
community_detection,42,failed,0,2,144.7,18039,0.0156,0,0,0,0,formulation_error
connectome_community_detection,42,failed,1,2,118.4,21102,0.0175,0,0,0,0,formulation_error
core_periphery_partitioning,42,failed,0,2,88.4,15579,0.0113,0,0,0,0,formulation_error
credit_scorecard_selection,42,success,2,2,79.0,14882,0.0107,0,0,0,0,
cryptanalysis_prime_factorization,42,success,2,2,130.6,16773,0.0121,0,0,0,0,
cyber_risk_scoring_qubo,42,failed,0,2,89.4,16715,0.0115,0,0,0,0,formulation_error
cybersecurity_intrusion_feature_selection,42,failed,0,2,105.6,17404,0.0142,0,0,0,0,formulation_error
database_serializability_verification,42,success,3,3,108.6,18482,0.0134,0,0,0,0,
densest_k_subgraph,42,success,2,2,102.2,12014,0.0078,0,0,0,0,
distribution_network_reconfiguration,42,success,2,2,83.3,15897,0.0127,0,0,0,0,
dominating_set,42,success,1,1,80.3,14173,0.0113,0,0,0,0,
dynamic_spectrum_allocation,42,failed,0,2,105.4,25693,0.0220,0,0,0,0,formulation_error
electronic_structure_eigensolver,42,failed,0,2,139.3,18439,0.0149,0,0,0,0,coding_error
energy_storage_scheduling,42,failed,0,2,236.1,28147,0.0212,0,0,0,0,formulation_error
exact_cover_by_3_sets,42,failed,0,0,49.8,8935,0.0066,0,0,0,0,
exam_timetabling_quantum,42,failed,0,0,50.9,10678,0.0099,0,0,0,0,
facility_location,42,failed,0,2,108.7,19704,0.0163,0,0,0,0,coding_error
feature_selection,42,success,2,2,111.0,20603,0.0168,0,0,0,0,
feedback_arc_set,42,failed,0,1,253.9,30295,0.0256,0,0,0,0,coding_error
feedback_vertex_set,42,success,1,1,68.7,13935,0.0103,0,0,0,0,
fifo_stack_up,42,failed,0,0,307.9,78939,0.0736,0,0,0,0,
finance_fraud_feature_selection,42,success,2,2,132.6,20890,0.0159,0,0,0,0,
fpga_placement,42,failed,0,2,131.4,26795,0.0258,0,0,0,0,coding_error
fragment_flexible_docking,42,success,2,2,192.5,27020,0.0213,0,0,0,0,
generalized_assignment,42,failed,0,0,225.6,21486,0.0181,0,0,0,0,coding_error
genome_assembly,42,success,1,1,86.6,21984,0.0149,0,0,0,0,
graph_bandwidth,42,failed,0,0,912.2,62715,0.0453,0,0,0,0,
graph_coloring,42,success,2,2,143.4,17161,0.0121,0,0,0,0,
graph_isomorphism,42,failed,1,2,124.8,22493,0.0204,0,0,0,0,formulation_error
hamiltonian_cycle,42,failed,0,0,33.6,3835,0.0028,0,0,0,0,
hamiltonian_path,42,success,2,2,168.1,18996,0.0143,0,0,0,0,
hospital_staff_rescheduling,42,failed,0,3,108.9,23232,0.0175,0,0,0,0,coding_error
image_denoising,42,success,2,2,85.3,18101,0.0162,0,0,0,0,
image_segmentation_graph_cut,42,failed,1,2,156.9,21768,0.0191,0,0,0,0,coding_error
inverse_kinematics,42,success,2,2,73.2,14980,0.0119,0,0,0,0,
ionq_trapped_ion_portfolio_decomposition,42,failed,0,2,70.0,21066,0.0152,0,0,0,0,formulation_error
iot_mec_aigc_server_selection,42,failed,0,2,129.1,29892,0.0248,0,0,0,0,formulation_error
iquhack_multi_vehicle_delivery,42,failed,0,2,172.0,19583,0.0143,0,0,0,0,formulation_error
job_shop_scheduling,42,failed,0,2,466.6,38903,0.0297,0,0,0,0,coding_error
k_medoids_clustering,42,success,2,2,85.0,19407,0.0142,0,0,0,0,
k_sat,42,failed,0,0,105.9,14515,0.0121,0,0,0,0,
knapsack,42,failed,0,3,149.5,18706,0.0149,0,0,0,0,coding_error
legal_document_summarization,42,success,2,2,123.4,19548,0.0140,0,0,0,0,
ligand_pose_hotspot_sampling,42,failed,1,3,180.9,21887,0.0161,0,0,0,0,formulation_error
llm_cascade_routing,42,failed,0,2,108.2,20016,0.0152,0,0,0,0,formulation_error
longest_path,42,failed,0,1,152.6,19071,0.0170,0,0,0,0,coding_error
mars_satellite_observation_scheduling,42,failed,1,2,178.9,21895,0.0179,0,0,0,0,coding_error
max_2_sat,42,failed,0,1,145.4,17577,0.0150,0,0,0,0,coding_error
max_clique,42,success,4,4,78.5,16127,0.0110,0,0,0,0,
max_cut,42,failed,0,8,171.0,21317,0.0155,0,0,0,0,formulation_error
maximum_independent_set,42,failed,3,5,126.1,15417,0.0111,0,0,0,0,formulation_error
minimum_bisection,42,success,1,1,100.4,18755,0.0168,0,0,0,0,
minimum_multicut_tree,42,failed,0,0,51.7,9973,0.0085,0,0,0,0,
molecular_conformation_selection,42,failed,0,2,749.2,86131,0.0692,0,0,0,0,coding_error
n_queens_exact_cover,42,failed,0,1,130.2,16723,0.0113,0,0,0,0,formulation_error
number_partition,42,success,2,2,95.9,17957,0.0158,0,0,0,0,
nurse_scheduling,42,success,2,2,131.9,19464,0.0160,0,0,0,0,
operating_system_task_scheduling,42,failed,0,3,139.5,23188,0.0189,0,0,0,0,formulation_error
phase_field_correction,42,failed,0,2,97.9,16168,0.0124,0,0,0,0,coding_error
portfolio_optimization,42,success,2,2,95.6,15517,0.0103,0,0,0,0,
protein_lattice_folding,42,failed,0,2,95.3,15617,0.0127,0,0,0,0,formulation_error
qseg_remote_sensing_segmentation,42,failed,0,2,94.6,15416,0.0125,0,0,0,0,formulation_error
quadratic_assignment,42,failed,0,1,169.9,21636,0.0176,0,0,0,0,formulation_error
quantum_circuit_compilation,42,success,2,2,185.8,17844,0.0131,0,0,0,0,
quantum_circuit_routing,42,failed,0,0,110.4,11465,0.0091,0,0,0,0,
qubit_allocation,42,success,2,2,167.8,23897,0.0211,0,0,0,0,
railway_dispatching,42,success,2,2,125.3,22296,0.0167,0,0,0,0,
recommender_feature_selection,42,success,2,2,117.9,22619,0.0178,0,0,0,0,
resource_constrained_project_scheduling,42,failed,0,0,54.1,13899,0.0111,0,0,0,0,
rna_folding,42,success,3,3,106.7,17330,0.0137,0,0,0,0,
robot_arm_path_planning,42,failed,1,2,199.8,31424,0.0259,0,0,0,0,formulation_error
sensor_placement_mutual_information,42,success,2,2,92.8,16725,0.0127,0,0,0,0,
set_cover,42,failed,0,0,766.4,71569,0.0691,0,0,0,0,
set_packing,42,success,1,1,82.6,14078,0.0103,0,0,0,0,
social_influence_maximization,42,failed,0,2,133.5,18276,0.0140,0,0,0,0,formulation_error
steiner_tree,42,failed,0,1,184.3,26118,0.0222,0,0,0,0,coding_error
stereo_matching,42,success,2,2,135.3,22163,0.0172,0,0,0,0,
subset_sum,42,success,1,1,66.4,11135,0.0078,0,0,0,0,
supply_chain_allocation,42,failed,1,2,133.5,22001,0.0164,0,0,0,0,formulation_error
support_vector_machine_training,42,failed,0,2,100.6,15928,0.0121,0,0,0,0,coding_error
top_eigencentrality_nodes,42,failed,0,2,87.9,13015,0.0087,0,0,0,0,formulation_error
traffic_route_assignment,42,success,2,2,157.9,19498,0.0144,0,0,0,0,
travelling_salesman,42,failed,0,2,87.4,22322,0.0162,0,0,0,0,formulation_error
unit_commitment,42,failed,0,2,160.0,25565,0.0216,0,0,0,0,coding_error
vehicle_routing,42,failed,0,2,63.4,18173,0.0138,0,0,0,0,formulation_error
vertex_cover,42,success,1,1,126.3,13940,0.0097,0,0,0,0,
vlsi_bisection_placement,42,failed,0,2,97.7,16120,0.0116,0,0,0,0,formulation_error
